ID|Name|Description| price |instock|url|smallimage|bigimage|categoryid1|categoryid2
B05-034|Faire-part de naissance B05-034|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-034|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-034.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-034.jpg|Faire-part de naissance|Faire-part créatif
B05-035|Faire-part de naissance B05-035|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-035|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-035.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-035.jpg|Faire-part de naissance|Faire-part créatif
B05-036|Faire-part de naissance B05-036|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-036|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-036.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-036.jpg|Faire-part de naissance|Faire-part créatif
B05-037|Faire-part de naissance B05-037|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-037|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-037.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-037.jpg|Faire-part de naissance|Faire-part créatif
B05-038|Faire-part de naissance B05-038|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-038|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-038.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-038.jpg|Faire-part de naissance|Faire-part créatif
B05-039|Faire-part de naissance B05-039|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-039|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-039.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-039.jpg|Faire-part de naissance|Faire-part créatif
B05-040|Faire-part de naissance B05-040|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-040|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-040.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-040.jpg|Faire-part de naissance|Faire-part créatif
B05-041|Faire-part de naissance B05-041|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-041|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-041.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-041.jpg|Faire-part de naissance|Faire-part créatif
B05-042|Faire-part de naissance B05-042|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-042|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-042.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-042.jpg|Faire-part de naissance|Faire-part créatif
B05-043|Faire-part de naissance B05-043|tarifs dégressifs. Prix unitaire pour une commande de 100 cartes, remise de 20% incluse avec le code panier CR20| 0,86   |1|http://www.faire-part-creatif.com/faire-part-naissance.asp?modele=B05-043|http://www.faire-part-creatif.com/sources/vignettes/naissance/200/B05-043.jpg|http://www.faire-part-creatif.com/sources/vignettes/naissance/400/B05-043.jpg|Faire-part de naissance|Faire-part créatif
